Year,State,District,Total_Male,Male_Below_12_years,Male_12_years_&_Above_Below_16_years,Male_16_years_&_Above_Below_18_years,Male_Children,Male_18_years_&_Above,Total_Female,Female_Below_12_years,Female_12_years_&_Above_Below_16_years,Female_16_years_&_Above_Below_18_years,Female_Children,Female_18_years_&_Above,Total_Transgender,Transgender_Below_12_years,Transgender_12_years_&_Above_Below_16_years,Transgender_16_years_&_Above_Below_18_years,Transgender_Children,Transgender_18_years_&_Above,Grand_Total,Total_Below_12_years,Total_12_years_&_Above_Below_14_years,Total_14_years_&_Above_Below_18_years,Total_Children,Total_18_years_&_Above
2020-21,Maharashtra,Satara,546,32,2,1,35,511,1105,33,2,1,36,1069,0,0,0,0,0,0,1651,65,4,2,71,1580
2020-21,Maharashtra,Sindhudurg,104,4,0,0,4,100,106,0,3,0,3,103,0,0,0,0,0,0,210,4,3,0,7,203
2020-21,Maharashtra,Solapur Commr.,255,22,2,0,24,231,421,7,1,0,8,413,0,0,0,0,0,0,676,29,3,0,32,644
2020-21,Maharashtra,Solapur Rural,489,0,0,0,0,489,923,0,0,0,0,923,0,0,0,0,0,0,1412,0,0,0,0,1412
2020-21,Maharashtra,Thane Commr.,1746,0,0,0,0,1746,2442,0,0,0,0,2442,0,0,0,0,0,0,4188,0,0,0,0,4188
2020-21,Maharashtra,Thane Rural,315,5,8,11,24,291,419,4,29,34,67,352,0,0,0,0,0,0,734,9,37,45,91,643
2020-21,Maharashtra,Wardha,407,0,0,0,0,407,646,0,0,0,0,646,0,0,0,0,0,0,1053,0,0,0,0,1053
2020-21,Maharashtra,Washim,216,0,0,0,0,216,400,0,0,0,0,400,0,0,0,0,0,0,616,0,0,0,0,616
2020-21,Maharashtra,Yavatmal,472,3,0,98,101,371,881,4,0,185,189,692,0,0,0,0,0,0,1353,7,0,283,290,1063
2020-21,Maharashtra,Pimpri Chinchwad City,1012,0,6,10,16,996,1317,0,11,6,17,1300,0,0,0,0,0,0,2329,0,17,16,33,2296
2020-21,Maharashtra,Aurangabad Railway,11,0,0,0,0,11,11,0,0,0,0,11,0,0,0,0,0,0,22,0,0,0,0,22
2020-21,Maharashtra,Mira Bhayandar Vasai Virar Commr.,860,58,6,6,70,790,1183,46,9,9,64,1119,0,0,0,0,0,0,2043,104,15,15,134,1909
2020-21,Maharashtra,Total Districts ,24621,524,337,750,1611,23010,37278,488,767,1260,2515,34763,28,0,3,0,3,25,61927,1012,1107,2010,4129,57798
2020-21,Manipur,Bishnupur,10,0,2,1,3,7,15,0,0,1,1,14,0,0,0,0,0,0,25,0,2,2,4,21
2020-21,Manipur,Chandel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Manipur,Churachandpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Manipur,CID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Manipur,Imphal East,37,1,0,6,7,30,53,4,9,21,34,19,0,0,0,0,0,0,90,5,9,27,41,49
2020-21,Manipur,Imphal West,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
2020-21,Manipur,Senapati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Manipur,Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Manipur,Thoubal,19,1,2,2,5,14,17,0,6,4,10,7,0,0,0,0,0,0,36,1,8,6,15,21
2020-21,Manipur,Ukhrul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Manipur,Kakching,6,1,0,0,1,5,21,0,0,1,1,20,0,0,0,0,0,0,27,1,0,1,2,25
2020-21,Manipur,Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Manipur,Kangpokpi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Manipur,Jiribam,7,0,0,0,0,7,8,0,0,0,0,8,0,0,0,0,0,0,15,0,0,0,0,15
2020-21,Manipur,Noney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Manipur,Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Manipur,Tengnoupal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Manipur,Narcotic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Manipur,Total Districts ,79,3,4,9,16,63,115,5,15,27,47,68,0,0,0,0,0,0,194,8,19,36,63,131
2020-21,Meghalaya,Garo Hills East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Meghalaya,Garo Hills North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Meghalaya,Garo Hills South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Meghalaya,Garo Hills South West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Meghalaya,Garo Hills West,6,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,7
2020-21,Meghalaya,Jaintia Hills West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Meghalaya,Jaintia Hills East,4,4,0,0,4,0,11,1,0,10,11,0,0,0,0,0,0,0,15,5,0,10,15,0
2020-21,Meghalaya,Khasi Hills East,72,5,7,4,16,56,96,2,12,21,35,61,0,0,0,0,0,0,168,7,19,25,51,117
2020-21,Meghalaya,Khasi Hills South West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Meghalaya,Khasi Hills West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Meghalaya,Ri-Bhoi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Meghalaya,Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Meghalaya,Total Districts ,82,9,7,4,20,62,108,3,12,31,46,62,0,0,0,0,0,0,190,12,19,35,66,124
2020-21,Mizoram,Aizawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Mizoram,Champhai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Mizoram,Kolasib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Mizoram,Lawngtlai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Mizoram,Lunglei,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2020-21,Mizoram,Mamit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Mizoram,Saiha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Mizoram,Serchhip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Mizoram,Spl Narcotic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Mizoram,Saitual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Mizoram,Khawzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Mizoram,Hnahthial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Mizoram,Cyber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Mizoram,Total Districts ,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2020-21,Nagaland,Dimapur,38,2,1,1,4,34,6,0,3,0,3,3,0,0,0,0,0,0,44,2,4,1,7,37
2020-21,Nagaland,Kiphire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Nagaland,Kohima,6,1,0,4,5,1,21,0,5,9,14,7,0,0,0,0,0,0,27,1,5,13,19,8
