Year,State,District,Total_Male,Male_Below_5_years,Male_5_years_&_Above_Below_14_years,Male_14_years_&_Above_Below_18_years,Male_18_years_&_Above_Below_30_years,Male_30_years_&_Above_Below_45_years,Male_45_years_&_Above_Below_60_years,Male_60_years_&_Above,Total_Female,Female_Below_5_years,Female_5_years_&_Above_Below_14_years,Female_14_years_&_Above_Below_18_years,Female_18_years_&_Above_Below_30_years,Female_30_years_&_Above_Below_45_years,Female_45_years_&_Above_Below_60_years,Female_60_years_&_Above,Total_Transgender,Transgender_Below_5_years,Transgender_5_years_&_Above_Below_14_years,Transgender_14_years_&_Above_Below_18_years,Transgender_18_years_&_Above_Below_30_years,Transgender_30_years_&_Above_Below_45_years,Transgender_45_years_&_Above_Below_60_years,Transgender_60_years_&_Above,Grand_Total,Total_Below_5_years,Total_5_years_&_Above_Below_14_years,Total_14_years_&_Above_Below_18_years,Total_18_years_&_Above_Below_30_years,Total_30_years_&_Above_Below_45_years,Total_45_years_&_Above_Below_60_years,Total_60_years_&_Above
2018-19, Andhra Pradesh,Anantapur,257,2,22,36,93,61,26,17,766,1,22,257,415,58,5,8,0,0,0,0,0,0,0,0,1023,3,44,293,508,119,31,25
2018-19, Andhra Pradesh,Chittoor,99,15,13,16,29,14,10,2,319,33,6,112,132,24,9,3,0,0,0,0,0,0,0,0,418,48,19,128,161,38,19,5
2018-19, Andhra Pradesh,Cuddapah,163,2,19,31,26,35,44,6,475,9,31,136,98,126,72,3,0,0,0,0,0,0,0,0,638,11,50,167,124,161,116,9
2018-19, Andhra Pradesh,East Godavari,215,2,6,19,69,70,31,18,359,6,16,80,205,39,6,7,9,1,0,8,0,0,0,0,583,9,22,107,274,109,37,25
2018-19, Andhra Pradesh,Guntakal Railway,6,0,1,0,2,1,0,2,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,10,0,1,0,4,1,0,4
2018-19, Andhra Pradesh,Guntur,279,15,29,41,49,76,46,23,440,13,26,74,230,72,15,10,0,0,0,0,0,0,0,0,719,28,55,115,279,148,61,33
2018-19, Andhra Pradesh,Guntur Urban,202,0,22,21,59,51,25,24,293,2,5,39,205,31,4,7,0,0,0,0,0,0,0,0,495,2,27,60,264,82,29,31
2018-19, Andhra Pradesh,Krishna,182,5,8,0,66,60,32,11,282,9,18,0,193,48,9,5,0,0,0,0,0,0,0,0,464,14,26,0,259,108,41,16
2018-19, Andhra Pradesh,Kurnool,205,3,12,28,67,42,35,18,504,10,44,120,80,135,90,25,0,0,0,0,0,0,0,0,709,13,56,148,147,177,125,43
2018-19, Andhra Pradesh,Nellore,141,1,16,19,35,34,21,15,345,1,18,92,159,54,14,7,0,0,0,0,0,0,0,0,486,2,34,111,194,88,35,22
2018-19, Andhra Pradesh,Prakasham,176,7,30,19,47,34,27,12,344,5,22,69,199,40,5,4,0,0,0,0,0,0,0,0,520,12,52,88,246,74,32,16
2018-19, Andhra Pradesh,Rajahmundry,196,5,14,14,66,55,29,13,233,1,10,40,142,23,9,8,0,0,0,0,0,0,0,0,429,6,24,54,208,78,38,21
2018-19, Andhra Pradesh,Srikakulam,110,6,15,12,25,21,10,21,231,1,7,44,147,24,5,3,0,0,0,0,0,0,0,0,341,7,22,56,172,45,15,24
2018-19, Andhra Pradesh,Tirupathi Urban,132,2,3,9,63,36,19,0,260,1,23,44,36,119,37,0,0,0,0,0,0,0,0,0,392,3,26,53,99,155,56,0
2018-19, Andhra Pradesh,Vijayawada City,410,13,46,49,96,119,59,28,521,22,29,121,263,58,17,11,0,0,0,0,0,0,0,0,931,35,75,170,359,177,76,39
2018-19, Andhra Pradesh,Vijayawada Railway,26,1,0,4,2,9,5,5,12,0,2,0,2,6,1,1,0,0,0,0,0,0,0,0,38,1,2,4,4,15,6,6
2018-19, Andhra Pradesh,Visakha Rural,137,0,15,13,49,27,20,13,187,8,5,18,123,23,3,7,0,0,0,0,0,0,0,0,324,8,20,31,172,50,23,20
2018-19, Andhra Pradesh,Visakhapatnam,310,4,9,7,131,88,47,24,452,3,4,19,323,80,9,14,0,0,0,0,0,0,0,0,762,7,13,26,454,168,56,38
2018-19, Andhra Pradesh,Vizianagaram,109,7,6,11,33,28,17,7,250,7,13,62,141,20,5,2,0,0,0,0,0,0,0,0,359,14,19,73,174,48,22,9
2018-19, Andhra Pradesh,West Godavari,356,22,35,27,91,103,48,30,619,26,36,106,305,109,23,14,0,0,0,0,0,0,0,0,975,48,71,133,396,212,71,44
2018-19, Andhra Pradesh,Total,3711,112,321,376,1098,964,551,289,6896,158,337,1433,3400,1089,338,141,9,1,0,8,0,0,0,0,10616,271,658,1817,4498,2053,889,430
2018-19,Arunachal Pradesh,All Districts,1,0,0,0,1,0,0,0,32,0,13,12,7,0,0,0,0,0,0,0,0,0,0,0,33,0,13,12,8,0,0,0
2018-19,Arunachal Pradesh,Anjaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Changlang,6,0,2,1,2,1,0,0,9,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,15,0,4,6,4,1,0,0
2018-19,Arunachal Pradesh,Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Kameng East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Kameng West,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
2018-19,Arunachal Pradesh,Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Lohit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Longding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Lower Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Papum Pare Rural,8,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,6,1,0,0,0
2018-19,Arunachal Pradesh,Siang East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Siang Upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Siang West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Subansiri Lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Subansiri Upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Tawang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Tirap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Namsai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Siang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Kamle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Kra Dadi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Lower Siang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Leparada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Shiyomi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Pakkessang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Arunachal Pradesh,Total,15,0,3,7,4,1,0,0,43,0,17,17,9,0,0,0,0,0,0,0,0,0,0,0,58,0,20,24,13,1,0,0
2018-19,Assam,BIEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Assam,Barpeta,12,0,0,4,5,2,1,0,16,0,0,3,7,6,0,0,0,0,0,0,0,0,0,0,28,0,0,7,12,8,1,0
2018-19,Assam,Baksa,51,0,11,6,13,14,5,2,190,0,5,28,116,33,7,1,0,0,0,0,0,0,0,0,241,0,16,34,129,47,12,3
2018-19,Assam,Bongaigaon,56,0,12,12,14,11,4,3,220,2,6,62,84,64,2,0,0,0,0,0,0,0,0,0,276,2,18,74,98,75,6,3
2018-19,Assam,CID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Assam,Cachar,507,3,15,185,255,35,14,0,203,2,18,22,135,25,1,0,0,0,0,0,0,0,0,0,710,5,33,207,390,60,15,0
2018-19,Assam,Chirang,22,0,2,1,7,7,5,0,73,1,2,6,47,17,0,0,0,0,0,0,0,0,0,0,95,1,4,7,54,24,5,0
2018-19,Assam,Darrang,24,0,0,2,12,8,2,0,60,0,0,6,32,22,0,0,0,0,0,0,0,0,0,0,84,0,0,8,44,30,2,0
2018-19,Assam,Dhemaji,189,0,12,20,109,44,2,2,110,0,4,6,65,24,11,0,0,0,0,0,0,0,0,0,299,0,16,26,174,68,13,2
2018-19,Assam,Dhubri,75,1,4,12,24,17,9,8,250,4,4,94,93,48,6,1,0,0,0,0,0,0,0,0,325,5,8,106,117,65,15,9
2018-19,Assam,Dibrugarh,2,0,2,0,0,0,0,0,10,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,4,0,0,0,0
2018-19,Assam,GRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Assam,Goalpara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Assam,Golaghat,25,0,0,0,0,25,0,0,52,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,77,0,0
2018-19,Assam,Guwahati City,539,0,26,59,142,182,98,32,742,2,22,74,381,214,43,6,0,0,0,0,0,0,0,0,1281,2,48,133,523,396,141,38
2018-19,Assam,Hailakandi,34,0,5,6,8,15,0,0,167,0,3,40,55,69,0,0,0,0,0,0,0,0,0,0,201,0,8,46,63,84,0,0
2018-19,Assam,Hamren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Assam,Jorhat,29,0,20,9,0,0,0,0,10,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,39,2,22,15,0,0,0,0
2018-19,Assam,Kamrup,108,1,1,11,52,28,11,4,243,0,4,20,156,45,15,3,0,0,0,0,0,0,0,0,351,1,5,31,208,73,26,7
2018-19,Assam,Karbi Anglong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Assam,Karimganj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Assam,Kokrajhar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Assam,Lakhimpur,76,0,9,10,32,15,9,1,100,2,5,67,19,5,2,0,0,0,0,0,0,0,0,0,176,2,14,77,51,20,11,1
2018-19,Assam,Morigaon,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0
2018-19,Assam,Dima Hasao,11,0,2,0,3,4,1,1,29,0,0,4,19,5,1,0,0,0,0,0,0,0,0,0,40,0,2,4,22,9,2,1
2018-19,Assam,Nagaon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Assam,Nalbari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Assam,RPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Assam,SOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Assam,STF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Assam,Sibsagar,13,0,5,4,4,0,0,0,19,0,5,8,6,0,0,0,0,0,0,0,0,0,0,0,32,0,10,12,10,0,0,0
2018-19,Assam,Sonitpur,30,0,8,14,2,6,0,0,288,2,13,157,80,32,3,1,0,0,0,0,0,0,0,0,318,2,21,171,82,38,3,1
2018-19,Assam,Tinsukia,40,0,2,10,0,23,4,1,88,0,0,5,21,56,6,0,0,0,0,0,0,0,0,0,128,0,2,15,21,79,10,1
2018-19,Assam,Udalguri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Assam,Sadia,8,0,0,0,2,3,3,0,27,0,0,2,15,9,1,0,0,0,0,0,0,0,0,0,35,0,0,2,17,12,4,0
2018-19,Assam,Majuli,5,0,0,0,4,1,0,0,7,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,10,2,0,0
2018-19,Assam,Biswanath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Assam,Hojai,94,0,18,18,22,17,10,9,232,0,27,74,79,46,6,0,0,0,0,0,0,0,0,0,326,0,45,92,101,63,16,9
2018-19,Assam,South Salmara,15,0,6,0,3,4,2,0,49,0,1,12,28,8,0,0,0,0,0,0,0,0,0,0,64,0,7,12,31,12,2,0
2018-19,Assam,Charaideo,16,0,3,2,1,5,3,2,45,0,1,12,11,19,2,0,0,0,0,0,0,0,0,0,61,0,4,14,12,24,5,2
2018-19,Assam,Total,1981,5,163,385,714,466,183,65,3330,17,128,712,1555,800,106,12,0,0,0,0,0,0,0,0,5311,22,291,1097,2269,1266,289,77
2018-19,Bihar,Araria,37,2,4,10,13,6,1,1,178,0,14,102,32,28,1,1,0,0,0,0,0,0,0,0,215,2,18,112,45,34,2,2
2018-19,Bihar,Arwal,6,0,3,2,0,1,0,0,39,1,6,18,10,4,0,0,0,0,0,0,0,0,0,0,45,1,9,20,10,5,0,0
2018-19,Bihar,Aurangabad,37,0,7,16,8,6,0,0,52,0,2,26,21,2,1,0,0,0,0,0,0,0,0,0,89,0,9,42,29,8,1,0
2018-19,Bihar,Bagaha,10,1,4,2,2,1,0,0,85,0,12,54,8,11,0,0,0,0,0,0,0,0,0,0,95,1,16,56,10,12,0,0
2018-19,Bihar,Banka,32,2,8,12,5,2,2,1,181,1,24,94,46,12,3,1,0,0,0,0,0,0,0,0,213,3,32,106,51,14,5,2
2018-19,Bihar,Begusarai,17,0,9,3,1,4,0,0,136,0,48,81,7,0,0,0,0,0,0,0,0,0,0,0,153,0,57,84,8,4,0,0
2018-19,Bihar,Bettiah,185,0,51,98,31,5,0,0,16,0,8,5,0,2,1,0,0,0,0,0,0,0,0,0,201,0,59,103,31,7,1,0
2018-19,Bihar,Bhabhua,35,1,4,16,10,2,2,0,129,0,21,74,26,7,1,0,0,0,0,0,0,0,0,0,164,1,25,90,36,9,3,0
2018-19,Bihar,Bhagalpur,65,1,17,18,10,12,7,0,323,1,42,181,71,24,3,1,0,0,0,0,0,0,0,0,388,2,59,199,81,36,10,1
2018-19,Bihar,Bhojpur,41,4,9,13,4,4,2,5,169,1,40,83,32,11,1,1,0,0,0,0,0,0,0,0,210,5,49,96,36,15,3,6
2018-19,Bihar,Buxar,36,2,16,7,2,4,3,2,139,1,17,67,32,19,2,1,0,0,0,0,0,0,0,0,175,3,33,74,34,23,5,3
2018-19,Bihar,Darbhanga,32,6,15,5,6,0,0,0,210,4,30,130,42,4,0,0,0,0,0,0,0,0,0,0,242,10,45,135,48,4,0,0
2018-19,Bihar,Gaya,117,9,36,30,21,15,5,1,348,6,47,196,72,20,6,1,0,0,0,0,0,0,0,0,465,15,83,226,93,35,11,2
2018-19,Bihar,Gopalganj,28,1,7,5,5,5,4,1,153,0,25,95,20,13,0,0,0,0,0,0,0,0,0,0,181,1,32,100,25,18,4,1
2018-19,Bihar,Jamalpur Railway,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0
2018-19,Bihar,Jamui,33,0,10,9,2,9,2,1,110,0,29,56,17,8,0,0,0,0,0,0,0,0,0,0,143,0,39,65,19,17,2,1
2018-19,Bihar,Jehanabad,32,0,10,7,9,3,2,1,94,0,22,53,16,1,2,0,0,0,0,0,0,0,0,0,126,0,32,60,25,4,4,1
2018-19,Bihar,Katihar,31,1,7,7,4,9,2,1,234,3,24,140,60,5,2,0,0,0,0,0,0,0,0,0,265,4,31,147,64,14,4,1
2018-19,Bihar,Katihar Railway,4,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,1,1,0,1,1
2018-19,Bihar,Khagaria,34,3,14,7,4,3,3,0,157,1,21,80,37,18,0,0,0,0,0,0,0,0,0,0,191,4,35,87,41,21,3,0
2018-19,Bihar,Kishanganj,11,0,1,2,3,5,0,0,71,0,10,31,20,10,0,0,0,0,0,0,0,0,0,0,82,0,11,33,23,15,0,0
2018-19,Bihar,Lakhisarai,24,0,10,6,3,2,2,1,72,15,38,12,6,0,1,0,0,0,0,0,0,0,0,0,96,15,48,18,9,2,3,1
2018-19,Bihar,Madhepura,43,0,14,14,5,7,3,0,177,1,20,92,38,24,2,0,0,0,0,0,0,0,0,0,220,1,34,106,43,31,5,0
2018-19,Bihar,Madhubani,5,0,3,0,2,0,0,0,22,0,4,15,2,1,0,0,0,0,0,0,0,0,0,0,27,0,7,15,4,1,0,0
2018-19,Bihar,Motihari,63,3,25,15,5,8,4,3,421,4,83,229,71,33,1,0,0,0,0,0,0,0,0,0,484,7,108,244,76,41,5,3
2018-19,Bihar,Munger,51,2,15,11,15,5,2,1,186,2,32,98,44,10,0,0,0,0,0,0,0,0,0,0,237,4,47,109,59,15,2,1
2018-19,Bihar,Muzaffarpur,149,19,30,35,29,20,9,7,619,8,69,301,193,46,2,0,0,0,0,0,0,0,0,0,768,27,99,336,222,66,11,7
2018-19,Bihar,Muzaffarpur Railway,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
2018-19,Bihar,Nalanda,119,2,52,23,14,16,7,5,346,0,53,191,70,24,6,2,0,0,0,0,0,0,0,0,465,2,105,214,84,40,13,7
2018-19,Bihar,Naugachia,17,0,9,0,8,0,0,0,87,0,10,64,13,0,0,0,0,0,0,0,0,0,0,0,104,0,19,64,21,0,0,0
2018-19,Bihar,Nawadah,66,6,3,33,20,4,0,0,199,2,36,99,56,6,0,0,0,0,0,0,0,0,0,0,265,8,39,132,76,10,0,0
2018-19,Bihar,Patna,329,11,87,81,56,59,26,9,1061,4,177,508,273,82,12,5,0,0,0,0,0,0,0,0,1390,15,264,589,329,141,38,14
2018-19,Bihar,Patna Railway,7,1,0,0,1,3,0,2,16,2,0,0,11,1,2,0,0,0,0,0,0,0,0,0,23,3,0,0,12,4,2,2
2018-19,Bihar,Purnea,59,0,22,16,13,7,1,0,227,0,37,124,59,5,2,0,0,0,0,0,0,0,0,0,286,0,59,140,72,12,3,0
2018-19,Bihar,Rohtas,70,2,16,18,16,12,5,1,246,3,45,121,62,13,0,2,0,0,0,0,0,0,0,0,316,5,61,139,78,25,5,3
2018-19,Bihar,Saharsa,29,0,4,6,9,6,4,0,112,0,14,47,31,18,2,0,0,0,0,0,0,0,0,0,141,0,18,53,40,24,6,0
2018-19,Bihar,Samastipur,48,4,15,7,5,9,8,0,290,0,31,169,62,26,1,1,0,0,0,0,0,0,0,0,338,4,46,176,67,35,9,1
2018-19,Bihar,Saran,112,4,30,21,24,16,15,2,438,2,80,208,106,35,6,1,0,0,0,0,0,0,0,0,550,6,110,229,130,51,21,3
2018-19,Bihar,Sheikhpura,11,0,0,3,4,3,1,0,40,0,13,12,8,6,1,0,0,0,0,0,0,0,0,0,51,0,13,15,12,9,2,0
2018-19,Bihar,Sheohar,8,0,1,3,3,1,0,0,43,0,7,29,6,1,0,0,0,0,0,0,0,0,0,0,51,0,8,32,9,2,0,0
2018-19,Bihar,Sitamarhi,66,7,25,15,14,2,2,1,328,2,47,196,63,17,2,1,0,0,0,0,0,0,0,0,394,9,72,211,77,19,4,2
2018-19,Bihar,Siwan,41,3,21,10,3,1,3,0,214,1,46,127,36,3,1,0,0,0,0,0,0,0,0,0,255,4,67,137,39,4,4,0
2018-19,Bihar,Supaul,16,0,3,6,5,1,0,1,152,2,33,75,33,8,1,0,0,0,0,0,0,0,0,0,168,2,36,81,38,9,1,1
2018-19,Bihar,Vaishali,79,14,21,17,17,5,3,2,330,17,26,223,39,23,2,0,0,0,0,0,0,0,0,0,409,31,47,240,56,28,5,2
2018-19,Bihar,Economic Offences Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Bihar,Anti Terrorist Squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Bihar,Total,2239,112,639,613,412,283,131,49,8453,84,1343,4508,1851,581,67,19,0,0,0,0,0,0,0,0,10692,196,1982,5121,2263,864,198,68
2018-19,Chhattisgarh,Balod,95,0,3,8,48,18,9,9,382,1,6,70,253,43,6,3,0,0,0,0,0,0,0,0,477,1,9,78,301,61,15,12
2018-19,Chhattisgarh,Balodbazar,147,0,5,16,70,28,15,13,688,0,8,151,438,79,8,4,0,0,0,0,0,0,0,0,835,0,13,167,508,107,23,17
2018-19,Chhattisgarh,Balrampur,43,0,2,6,14,16,3,2,150,1,4,41,74,27,2,1,0,0,0,0,0,0,0,0,193,1,6,47,88,43,5,3
2018-19,Chhattisgarh,Bemetra,72,2,1,7,42,12,6,2,293,0,4,73,193,19,2,2,0,0,0,0,0,0,0,0,365,2,5,80,235,31,8,4
2018-19,Chhattisgarh,Bilaspur,317,1,16,29,98,102,42,29,1075,1,62,273,474,227,29,9,0,0,0,0,0,0,0,0,1392,2,78,302,572,329,71,38
2018-19,Chhattisgarh,Bizapur,15,0,2,2,7,4,0,0,40,0,1,9,25,4,0,1,0,0,0,0,0,0,0,0,55,0,3,11,32,8,0,1
2018-19,Chhattisgarh,Dantewara,29,0,4,4,10,6,3,2,46,0,4,4,34,3,0,1,0,0,0,0,0,0,0,0,75,0,8,8,44,9,3,3
2018-19,Chhattisgarh,Dhamtari,115,0,4,9,54,21,15,12,340,0,2,50,235,45,3,5,0,0,0,0,0,0,0,0,455,0,6,59,289,66,18,17
2018-19,Chhattisgarh,Durg,461,1,21,40,196,103,70,30,1020,0,19,193,623,145,27,13,0,0,0,0,0,0,0,0,1481,1,40,233,819,248,97,43
2018-19,Chhattisgarh,Gariyaband,39,0,0,0,24,13,1,1,205,0,2,47,136,17,3,0,0,0,0,0,0,0,0,0,244,0,2,47,160,30,4,1
2018-19,Chhattisgarh,GRP Raipur,16,0,0,0,3,8,5,0,18,0,0,1,13,4,0,0,0,0,0,0,0,0,0,0,34,0,0,1,16,12,5,0
2018-19,Chhattisgarh,Jagdalpur,65,1,0,4,29,8,21,2,217,0,7,64,120,23,1,2,0,0,0,0,0,0,0,0,282,1,7,68,149,31,22,4
2018-19,Chhattisgarh,Janjgir,197,0,12,16,60,69,30,10,667,0,11,137,250,180,72,17,0,0,0,0,0,0,0,0,864,0,23,153,310,249,102,27
2018-19,Chhattisgarh,Jashpur,69,0,6,9,25,16,6,7,193,0,3,48,101,35,5,1,0,0,0,0,0,0,0,0,262,0,9,57,126,51,11,8
2018-19,Chhattisgarh,Kabirdham,97,0,4,13,44,19,11,6,288,0,3,69,166,38,12,0,0,0,0,0,0,0,0,0,385,0,7,82,210,57,23,6
2018-19,Chhattisgarh,Kanker,64,0,2,10,31,14,6,1,133,0,6,42,52,27,4,2,0,0,0,0,0,0,0,0,197,0,8,52,83,41,10,3
2018-19,Chhattisgarh,Kondagaon,30,0,1,0,13,10,6,0,100,0,2,13,66,14,4,1,0,0,0,0,0,0,0,0,130,0,3,13,79,24,10,1
2018-19,Chhattisgarh,Korba,172,0,10,22,43,65,26,6,462,0,6,106,201,123,22,4,0,0,0,0,0,0,0,0,634,0,16,128,244,188,48,10
2018-19,Chhattisgarh,Koriya,95,0,0,9,22,34,28,2,309,0,21,42,143,52,38,13,0,0,0,0,0,0,0,0,404,0,21,51,165,86,66,15
2018-19,Chhattisgarh,Mahasamund,109,0,1,16,36,30,21,5,374,1,3,53,213,93,7,4,0,0,0,0,0,0,0,0,483,1,4,69,249,123,28,9
2018-19,Chhattisgarh,Mungali,79,1,7,6,34,13,9,9,274,0,3,84,156,25,4,2,0,0,0,0,0,0,0,0,353,1,10,90,190,38,13,11
2018-19,Chhattisgarh,Narayanpur,7,0,1,1,1,1,3,0,33,0,3,10,18,2,0,0,0,0,0,0,0,0,0,0,40,0,4,11,19,3,3,0
2018-19,Chhattisgarh,Raigarh,242,1,18,20,63,84,39,17,736,1,23,152,353,170,29,8,0,0,0,0,0,0,0,0,978,2,41,172,416,254,68,25
2018-19,Chhattisgarh,Raipur,794,0,46,64,210,266,140,68,1792,0,29,356,853,445,80,29,0,0,0,0,0,0,0,0,2586,0,75,420,1063,711,220,97
2018-19,Chhattisgarh,Rajnandgaon,248,0,11,10,117,55,35,20,723,2,6,118,491,82,19,5,0,0,0,0,0,0,0,0,971,2,17,128,608,137,54,25
2018-19,Chhattisgarh,Sarguja,100,0,3,14,17,43,18,5,318,0,14,71,118,83,23,9,0,0,0,0,0,0,0,0,418,0,17,85,135,126,41,14
